PromedioAcumulado,AsistenciaPct,HorasEstudioSem,TareasEntregadasPct,Parcial1,Parcial2,DificultadMateria,IntentosReprobados,PromedioFinal,Aprobado
3.84,82.5,10.3,66.8,4.96,4.4,3,0,4.165846775588866,1
3.4,96.5,3.2,66.4,2.68,3.65,1,1,3.3005757731733816,1
3.57,92.8,5.6,99.0,3.35,3.48,3,0,2.9370828816019965,0
4.39,86.8,12.0,59.7,4.02,4.08,1,0,3.9891591791985546,1
3.45,63.4,3.0,68.4,4.51,3.21,3,0,3.22541408079053,1
3.06,81.8,6.8,100.0,4.52,3.2,4,0,3.240512190935615,1
4.01,94.1,7.1,85.7,3.73,3.82,5,0,3.257990971644448,1
3.48,78.7,11.0,90.1,2.94,3.41,2,0,3.047112134100334,1
3.51,88.0,9.2,72.5,4.56,4.3,2,1,4.006664628008171,1
3.49,91.5,10.7,59.8,3.51,4.37,3,0,3.7319717128488072,1
3.52,97.6,11.9,77.8,2.64,4.89,2,1,3.749854708232809,1
3.85,87.2,11.4,71.9,3.58,3.82,1,0,3.556868232116676,1
3.45,75.8,13.4,72.0,3.37,3.75,5,1,2.89612817981546,0
3.75,97.4,10.7,77.0,3.04,2.76,4,0,3.0499903402725863,1
4.12,82.6,6.0,85.2,3.73,3.66,2,1,3.624817798361322,1
4.34,90.1,5.0,69.2,2.12,2.17,3,0,2.154155535871875,0
3.15,78.6,11.6,86.8,2.54,4.01,4,0,3.011290655708289,1
4.11,72.0,9.6,98.1,3.65,2.89,5,0,2.8337479948874478,0
4.17,72.5,9.9,87.4,3.16,2.18,3,0,2.5861363296712137,0
4.23,99.2,7.4,100.0,3.5,3.49,3,0,3.284132917563473,1
3.62,84.6,9.7,95.0,4.75,3.67,4,1,3.523394994181925,1
3.48,92.3,3.9,94.3,3.66,2.81,2,2,2.8612959357576435,0
2.83,100.0,4.4,71.2,2.52,4.24,3,2,3.0316253761142673,1
3.65,94.4,21.7,94.5,4.18,1.85,3,0,3.349708971409859,1
4.49,100.0,1.4,80.0,3.46,5.0,2,0,3.930683926800852,1
3.76,74.5,5.8,100.0,4.61,3.99,3,2,3.6580535905860714,1
3.49,85.0,5.3,100.0,3.72,2.89,3,0,3.1655388380751157,1
3.89,76.1,5.3,93.4,4.07,3.05,4,0,3.0455703847505564,1
3.01,74.3,8.1,83.5,4.15,3.62,4,0,2.943617836035178,0
3.46,78.9,4.7,85.4,3.36,3.44,3,0,3.01441038255129,1
4.01,77.5,12.8,83.5,2.59,3.28,3,0,2.853637784317975,0
3.88,79.1,10.3,68.1,4.68,4.08,5,0,3.6715801780339428,1
3.35,85.9,11.8,65.7,4.11,4.62,4,0,3.8356709812467997,1
4.49,88.2,11.0,89.7,3.9,2.93,4,0,2.9968555022332932,0
2.87,94.8,7.2,69.8,3.11,3.15,1,0,3.4549435216186044,1
3.76,90.7,6.8,83.9,2.84,3.46,2,0,3.033953551727663,1
4.02,100.0,15.3,74.5,3.4,4.28,4,2,3.0700891477538717,1
4.22,100.0,10.5,65.6,4.42,3.79,3,0,3.685902290747015,1
3.66,80.1,10.5,69.7,4.22,3.9,3,0,3.6027395817854524,1
3.98,87.5,10.4,100.0,2.32,3.94,4,1,3.184588036768396,1
3.6,85.2,10.3,69.8,4.16,3.42,3,0,3.3616060891449764,1
4.43,74.8,4.2,70.1,2.73,5.0,4,0,3.4115260349642837,1
3.76,94.2,11.5,66.5,3.54,4.3,3,0,3.6274801521444324,1
4.18,93.3,20.3,83.2,3.41,2.52,3,0,2.943774118689771,0
3.02,92.0,10.3,76.1,5.0,5.0,4,0,4.39075919868612,1
3.54,94.4,16.9,54.4,2.46,2.87,4,0,2.6956601997114484,0
3.87,78.8,10.6,100.0,2.92,4.07,3,2,3.1195901135613733,1
3.87,98.1,11.2,45.6,2.1,3.34,5,2,2.4764694834452254,0
3.32,97.6,11.3,65.7,3.96,5.0,3,0,4.548161369704864,1
2.67,63.5,2.2,75.2,4.85,3.87,3,2,3.36966377715496,1
2.72,80.6,4.0,91.4,4.35,3.25,3,0,3.4566265676563264,1
3.13,90.0,9.3,70.3,2.37,4.23,5,0,2.8337443756706593,0
4.99,100.0,16.9,69.7,3.72,3.08,3,0,3.367336797196223,1
2.08,87.6,8.2,82.3,4.32,3.47,3,0,3.5328111344150397,1
3.52,88.4,12.1,72.9,3.38,5.0,4,0,3.5601451853932184,1
3.45,82.5,6.3,59.8,2.76,3.26,2,0,2.8770337302632827,0
3.62,84.2,13.8,97.8,4.24,4.88,3,1,4.0365834296166945,1
3.56,100.0,4.1,89.1,3.83,3.31,4,0,3.171206097446194,1
3.11,86.1,14.3,93.2,4.58,4.03,5,1,3.469188841347717,1
4.11,100.0,9.8,82.8,4.16,3.76,2,0,4.0196756740370665,1
2.78,82.9,9.3,78.4,5.0,3.54,1,1,3.809541907385008,1
4.53,89.2,12.8,100.0,4.29,5.0,2,1,4.2867050762189685,1
3.83,67.0,15.4,68.8,3.42,2.75,2,0,3.3195765146871627,1
3.14,79.3,3.8,87.6,2.6,3.54,5,0,2.5768774051156766,0
3.25,82.0,12.7,82.7,3.13,2.96,2,0,2.9963223961850733,0
4.17,84.6,3.4,81.5,3.56,2.87,3,0,2.725329162027372,0
2.93,83.9,7.3,57.5,3.88,3.13,4,0,2.91055965821765,0
3.62,83.5,0.0,65.6,4.36,4.22,2,1,3.769079407203097,1
3.58,97.6,8.9,100.0,2.39,2.54,3,1,2.448837894710626,0
3.57,80.5,10.8,89.2,4.67,4.0,1,1,3.9030393680065343,1
3.87,91.5,13.8,62.5,3.24,3.25,1,1,3.5340959872034623,1
3.92,85.5,11.3,54.4,2.98,4.59,4,0,3.3946935741924973,1
3.81,81.9,10.2,62.9,4.89,3.48,5,0,3.497667313283863,1
4.16,100.0,13.7,66.6,2.6,3.63,3,1,3.2261589104951964,1
3.73,91.2,15.4,89.9,2.73,3.81,3,0,3.273960158301778,1
3.35,83.8,14.2,51.9,2.99,3.49,3,1,3.2261193265647496,1
3.03,91.3,18.3,100.0,3.43,2.89,4,0,2.9744202414907086,0
3.63,90.9,7.9,86.4,4.52,3.88,4,1,3.6188781773129937,1
3.79,84.1,15.1,98.1,4.42,3.72,4,1,3.484196422690582,1
2.72,75.2,4.1,81.2,4.47,4.13,3,0,3.7096393332933806,1
3.82,81.2,5.0,77.4,3.57,3.45,2,0,3.356536428718127,1
3.16,54.1,9.9,71.7,3.52,2.87,1,2,2.9517136722276764,0
3.15,78.8,8.1,72.8,3.78,2.94,3,1,2.9729128622100065,0
3.68,91.6,12.8,84.1,3.91,3.71,2,0,3.8348629813821526,1
2.55,88.0,11.8,84.1,3.72,3.09,4,0,3.0077245215625967,1
4.32,82.3,16.3,61.8,4.15,3.7,1,1,3.813532101782598,1
4.06,89.8,12.2,42.7,3.94,4.61,2,1,3.9085229945807005,1
3.01,94.7,11.9,75.9,3.73,2.77,3,0,3.0074790602268826,1
3.51,86.3,5.5,100.0,3.2,3.18,3,0,2.8820848745225236,0
3.68,82.4,9.0,74.6,4.27,4.36,2,0,3.918421389847741,1
3.23,82.7,13.7,35.4,3.22,2.23,5,0,2.470053215300839,0
3.35,76.1,21.8,87.2,3.69,4.01,2,0,3.9745333594680154,1
3.54,93.1,6.6,76.0,2.98,4.7,2,0,3.5597226983168517,1
3.59,100.0,14.7,66.6,3.04,4.2,3,0,3.361603497494664,1
3.53,72.4,10.1,48.5,2.45,3.24,3,1,2.7890868329479814,0
3.63,79.6,10.5,85.8,3.08,4.3,3,0,3.3897417656002578,1
3.79,88.1,6.7,91.6,3.49,3.67,1,0,3.176012930032679,1
3.43,81.9,8.1,76.0,3.35,3.97,3,1,3.0915379741840687,1
3.82,91.3,9.6,64.2,4.31,5.0,2,0,4.167965398416108,1
4.18,76.4,13.5,45.5,3.24,4.52,2,0,3.6160572388140135,1
3.83,64.4,16.0,100.0,3.79,1.97,3,1,2.6237858852968636,0
4.47,94.4,8.1,79.1,3.76,3.92,4,1,3.1962444473401654,1
2.9,92.7,7.8,89.5,3.45,3.29,1,1,3.5824127670196018,1
3.31,93.6,13.0,77.3,3.42,2.86,3,0,3.316197431754723,1
3.78,100.0,9.0,78.2,3.85,3.25,4,2,3.0871222522376667,1
3.72,80.2,14.3,77.1,2.83,4.23,2,0,3.2974066757711897,1
3.41,100.0,12.5,86.6,4.19,3.89,4,0,3.7121100353325884,1
3.91,100.0,7.6,91.6,3.17,3.83,2,1,3.098339496991163,1
3.7,82.0,13.7,88.1,3.91,5.0,4,0,3.752695764457622,1
4.19,73.4,12.0,95.1,3.58,3.6,3,1,3.315865740040501,1
3.07,75.2,9.1,85.0,4.59,3.73,3,1,3.580710014593743,1
3.63,91.8,11.9,79.1,3.79,2.44,3,1,3.090774443273656,1
3.38,74.5,6.0,80.3,4.76,4.07,3,0,3.768236253166552,1
4.03,87.3,8.4,77.1,3.77,4.08,4,1,3.2203340290056857,1
3.87,82.8,13.1,92.5,3.93,4.48,4,0,3.854524747186983,1
3.36,87.6,8.9,52.0,2.94,2.93,1,0,3.3495877545456483,1
4.1,94.2,11.8,86.3,4.02,3.43,3,0,3.7147518230644465,1
3.59,89.1,4.2,77.4,4.16,3.36,3,0,3.4284037408352446,1
2.98,93.7,9.8,79.8,2.83,4.01,3,0,3.138857744053448,1
3.47,100.0,11.0,84.8,2.73,3.87,1,0,3.5541387548964867,1
4.76,65.8,7.5,84.4,4.96,3.64,4,0,3.4437756200835823,1
3.51,87.8,10.4,91.1,3.72,3.6,3,0,3.556458579423596,1
3.72,84.6,10.9,79.0,3.85,3.48,1,0,3.6489473214074324,1
3.74,85.1,5.9,76.6,4.49,3.74,4,0,3.2141099121234395,1
3.58,64.5,0.0,74.6,3.57,3.1,1,0,3.0609026890037665,1
4.37,87.2,6.4,74.0,3.04,3.05,1,0,3.242328536256293,1
3.97,79.9,1.6,66.2,3.28,3.79,3,0,3.094070913015975,1
3.93,92.0,12.9,100.0,4.23,3.57,3,0,3.6594123160045835,1
3.47,100.0,14.5,73.6,2.58,3.97,2,0,3.600631878077435,1
3.95,74.0,5.3,49.0,3.61,2.69,4,0,2.704204673266988,0
3.45,88.6,5.7,76.8,3.26,3.79,3,0,3.194498186166065,1
3.81,67.1,8.5,62.1,3.97,3.28,4,0,3.0236416748015347,1
4.63,86.5,7.3,78.8,4.13,4.48,4,0,3.5635945156202347,1
4.38,94.5,7.0,71.8,4.53,2.81,3,0,3.2694068824330396,1
3.54,89.8,3.1,73.7,3.7,3.75,4,0,3.293690490804864,1
3.71,98.6,9.8,89.1,4.07,4.06,2,2,3.836260965775293,1
3.05,91.7,6.3,84.6,2.8,2.95,5,0,2.472058873955217,0
3.48,67.5,3.7,97.2,3.07,4.2,3,1,2.9449842203614125,0
2.49,100.0,8.0,100.0,4.52,3.6,1,0,3.98013065591767,1
4.06,70.2,10.5,83.1,2.86,4.42,3,0,3.1643811325945945,1
3.23,100.0,9.1,77.9,5.0,4.23,3,1,4.259491759516885,1
3.55,91.8,12.0,85.6,3.27,2.61,2,0,3.101497203616572,1
3.37,88.7,17.8,66.9,3.63,3.46,4,0,3.2103824996246813,1
4.12,100.0,9.8,67.6,3.94,4.5,3,0,3.9099040899748134,1
4.28,90.8,15.6,71.1,2.93,4.12,3,0,3.5567320831650973,1
4.31,94.8,4.3,76.6,3.92,3.87,5,0,3.0650099281875747,1
2.96,86.9,0.0,70.4,4.31,3.41,2,0,3.404726064602332,1
3.93,78.7,6.6,95.8,3.2,4.39,3,1,3.3621967394338386,1
3.16,74.6,8.4,88.8,3.08,2.89,5,0,2.5464007773420665,0
3.67,100.0,5.2,72.1,4.4,3.99,1,1,3.9318975601875437,1
4.08,100.0,12.5,44.7,2.92,3.51,4,0,2.943347674952681,0
3.47,83.7,7.5,77.9,3.12,4.15,2,0,3.3266319648853426,1
3.71,78.8,9.3,92.9,4.29,5.0,3,0,3.8849236030712264,1
3.29,100.0,9.8,86.0,4.12,5.0,3,1,4.269403188889621,1
4.15,94.5,14.9,77.7,4.41,3.38,2,2,3.6468451959215495,1
3.49,95.8,7.5,73.9,2.89,4.49,3,0,3.552662712956495,1
3.33,98.3,8.0,77.0,2.9,3.55,3,0,3.070448832977052,1
3.77,97.1,14.9,60.4,3.84,2.45,5,0,2.8564615881284277,0
4.06,100.0,15.9,76.2,3.97,3.09,2,0,3.8040006203944112,1
2.9,93.5,15.9,50.7,3.73,3.5,3,0,3.5863867036655583,1
3.83,71.8,15.7,55.4,4.36,3.88,2,1,3.8538557885116136,1
3.35,81.7,0.7,84.1,3.6,3.29,3,0,3.1564893534099316,1
3.93,90.1,6.1,78.6,3.69,4.31,3,0,3.401313062627359,1
3.34,88.4,18.2,60.9,4.48,2.95,5,0,3.1576774470611686,1
3.17,93.1,12.3,93.0,3.02,4.27,3,0,3.6814893021222224,1
3.24,85.4,17.0,76.9,3.82,3.2,3,1,3.231686651163434,1
3.68,70.5,13.6,86.6,3.86,3.11,3,1,3.088023458852067,1
3.87,88.0,12.1,94.0,3.16,2.84,1,0,3.0138860806095775,1
3.29,67.0,12.2,67.3,3.61,3.56,3,0,3.0987151550098195,1
3.63,68.0,9.4,58.6,3.58,3.55,2,0,3.3343756467951415,1
3.28,90.3,10.2,71.6,3.16,4.96,3,0,4.088944883211863,1
3.41,75.7,5.5,68.2,2.69,3.59,3,0,2.8828404186208245,0
3.35,80.8,7.8,80.5,3.01,5.0,5,0,3.3845920607939086,1
3.25,90.0,8.3,84.9,3.61,3.48,3,0,3.3127793476749052,1
2.99,79.5,11.5,71.3,3.27,3.79,5,0,3.136959215137848,1
3.56,89.2,12.9,92.2,2.63,3.0,2,0,2.9313079111389095,0
4.17,97.0,13.8,100.0,4.77,3.54,4,0,3.6749956076896844,1
3.64,76.6,17.6,56.8,3.65,2.11,1,0,3.023255352555713,1
3.45,79.4,13.8,66.0,3.55,2.8,1,0,3.2288398531272464,1
4.0,91.4,13.2,75.7,2.57,4.21,5,0,3.3208836087462186,1
3.35,80.6,4.7,68.0,4.3,5.0,3,0,3.789917491715959,1
3.7,91.3,3.6,85.9,4.69,3.23,3,0,3.6075272595405194,1
2.82,90.2,11.5,64.6,3.83,4.29,3,0,3.5236712942950508,1
3.6,81.7,8.8,69.7,3.36,3.21,2,0,2.9897158377961395,0
3.43,98.3,10.6,100.0,3.57,3.35,4,2,2.8174056209487204,0
2.67,73.0,5.6,99.5,3.36,3.94,3,0,2.834370287709504,0
3.38,91.1,10.0,97.9,3.19,2.82,4,0,2.733448197247937,0
2.43,63.8,8.0,67.6,3.39,4.31,3,0,3.60049385819266,1
3.3,85.9,11.8,90.3,3.97,4.68,3,0,3.965282286049702,1
3.85,85.6,12.4,95.6,3.86,3.65,3,0,3.3787360300266847,1
3.15,72.9,11.3,64.0,5.0,3.69,2,0,3.8787259314121605,1
3.24,100.0,5.5,49.8,4.47,1.76,3,1,2.536677377279057,0
2.84,74.0,9.4,89.3,2.2,3.65,3,1,2.773863659825461,0
3.74,81.6,16.8,51.2,4.17,3.47,2,1,3.517989795161376,1
3.38,96.8,8.0,69.4,5.0,2.8,5,0,3.0460745789213557,1
3.58,87.3,7.3,54.5,4.35,4.38,2,0,3.9315106286343795,1
4.17,81.1,13.1,80.4,3.11,2.53,3,2,2.7266396882125927,0
3.1,79.0,7.8,100.0,4.23,4.26,1,0,4.016889679139576,1
4.23,85.2,6.4,91.1,3.4,3.51,4,0,3.021852931794388,1
3.47,81.1,7.2,100.0,2.85,4.94,3,0,3.228002738804247,1
4.13,86.2,13.9,87.9,3.7,4.97,3,0,4.057358281847491,1
3.54,78.5,9.2,55.8,4.56,4.36,3,0,3.9920508377564845,1
2.78,93.9,13.2,78.6,4.45,4.77,1,0,4.482392803029341,1
2.98,78.7,14.7,84.4,3.45,3.95,2,1,3.614098966728501,1
3.47,70.1,8.3,87.8,3.24,5.0,4,0,3.6681191235384323,1
2.77,100.0,9.4,94.8,4.67,3.44,2,0,3.846174401737297,1
3.86,95.0,9.1,68.1,4.48,4.24,2,1,3.8464255641814526,1
4.01,78.3,6.8,82.6,3.35,3.92,1,1,3.6478812837097436,1
2.86,76.2,14.0,76.1,3.13,4.08,3,0,3.6747497329535306,1
3.46,91.9,8.3,92.5,3.67,3.19,2,1,3.167347642751685,1
3.55,78.5,5.8,79.4,3.1,3.36,3,0,3.015149136696961,1
3.94,95.4,16.8,80.8,4.68,3.71,3,0,3.764962965460304,1
3.81,90.2,9.1,81.4,3.44,3.75,3,0,3.474439479359833,1
3.39,87.9,9.8,85.4,4.83,4.12,3,0,3.779831747103266,1
2.89,86.9,7.7,80.2,2.9,3.97,3,1,3.0098611604994496,1
3.6,99.6,5.4,98.9,2.87,3.18,2,0,3.0846846247481623,1
3.54,83.0,4.0,55.0,3.65,3.13,3,0,2.843203596256078,0
3.19,86.4,13.5,93.4,3.72,3.74,2,1,3.409995342131421,1
4.66,77.4,7.7,86.4,3.58,3.64,2,0,3.168655701090365,1
3.69,91.1,1.6,83.8,3.03,1.86,3,0,2.2515416968747117,0
3.28,76.4,6.7,76.3,3.45,3.79,1,0,3.473879956901442,1
